Segment ID,Segment Name,Segment Folder,Logic Type,Filter 1 Type,Filter 1 Rule,Filter 1 Values,Connector 1,Filter 2 Type,Filter 2 Rule,Filter 2 Values,Connector 2,OR Filter 1 Type,OR Filter 1 Rule,OR Filter 1 Values,OR Filter 2 Type,OR Filter 2 Rule,OR Filter 2 Values,Uses Engagement,Uses Date Rule,Notes
39,Added 30 days never opened,Segments,AND,Creation Date,In The Last,1 month,NONE,None,None,None,NONE,NONE,none,NONE,NONE,No,Yes,False,False,
50,Sent atleast 20 emails,Segments,AND,Email Sent,At Least,20 times in the last 3 months,NONE,None,None,None,NONE,NONE,none,NONE,NONE,Yes,Yes,False,False,
52,Not in YFS List,Segments,AND,Member Of A List,Not A Member Of,YFS (ALL USERS) #2,NONE,None,None,None,NONE,NONE,none,NONE,NONE,No,No,False,False,
71,Opened more than 5 but not opened last week,Segments,AND,Email Opened,At Least,5 times in the last 2 months,AND,Email Not Opened,In The Last,1 week,NONE,NONE,none,NONE,Yes,Yes,Apple MPP Opens excluded,False,False,
89,Opened but never clicked,Segments,AND,Email Opened,More Than,5 times in the last 6 months,AND,Link Not Clicked In An Email,In The Last,1 month,NONE,NONE,none,Yes,Yes,Apple MPP Opens excluded,NONE,False,False,
92,Gaming Interest,Segments,AND + OR,Email Opened,At Least,1 time in the last 2 weeks,AND,Email Tag,Is Exactly,bulk_gaming; trigger_gaming; +6 more,OR,Link clicked in an email,at least,1 time over all time,Webpage visited,at least,1 time over all time,True,True,Apple MPP Opens excluded; webpage URL contains latest-freebie
94,DO NOT SEND GAMBLING,Segments,AND,Gamblingunsub,Is Equal To,Yes,NONE,None,None,None,NONE,NONE,none,NONE,NONE,No,No,False,False,
97,Recent Registration + 1M,Segments,AND + OR,Creation Date,Between Past Dates,30 and 3 days before today,AND,Email Campaigns Subscriptions,Subscribed,None,OR,Link clicked in an email,at least,1 time in the last 1 month,Email campaigns subscriptions,Subscribed,NONE,True,True,
98,opened 5+ never clicked p,Segments,AND,Email Opened,More Than,5 times in the last 1 month,AND,Link Not Clicked In An Email,In The Last,1 month,NONE,NONE,none,Yes,Yes,Apple MPP Opens excluded,NONE,False,False,
100,Opened past month & clicked,Segments,AND,Email Opened,At Least,1 time in the last 1 month,AND,Link Clicked In An Email,At Least,1 time in the last 3 months,NONE,NONE,none,Yes,Yes,Apple MPP Opens excluded,NONE,False,False,
103,Clicked bulk_gaming send,Segments,AND,Link Clicked In An Email,At Least,1 time over all time,AND,Email Tag,Is Exactly,bulk_gaming; trigger_gaming; +7 more,NONE,NONE,none,NONE,Yes,No,NONE,False,False,
111,Sent Super Free Slots,Segments,AND,Email Sent,At Least,1 time in the last 2 weeks,AND,Email Tag,Is Exactly,trigger_sfs,NONE,NONE,none,NONE,Yes,Yes,NONE,False,False,
117,Registered Past Month,Segments,AND,Email Campaigns Subscriptions,Subscribed,None,AND,Creation Date,In The Last,1 month,NONE,NONE,none,NONE,No,Yes,NONE,False,False,
120,Jun24-Jul24,Segments,AND,Email Campaigns Subscriptions,Subscribed,None,AND,Creation Date,Fixed Period,01/06/2024 â€“ 31/07/2024,NONE,NONE,none,NONE,No,Yes,NONE,False,False,
124,Dec24-Jan25,Segments,AND,Email Campaigns Subscriptions,Subscribed,None,AND,Creation Date,Fixed Period,01/12/2024 - 31/01/2025,NONE,NONE,none,NONE,No,Yes,NONE,False,False,
125,Feb25-Mar25,Segments,AND,Email Campaigns Subscriptions,Subscribed,None,AND,Creation Date,Fixed Period,01/02/2025 - 31/03/2025,NONE,NONE,none,NONE,No,Yes,NONE,False,False,
126,Sent Custard,Segments,AND,Email Sent,At Least,1 time in the last 2 months,AND,Email Tag,Is Exactly,bulk_7165,NONE,NONE,none,NONE,Yes,Yes,NONE,False,False,
128,Apr25-May25,Segments,AND,Email Campaigns Subscriptions,Subscribed,None,AND,Creation Date,Fixed Period,01/04/2025 - 31/05/2025,NONE,NONE,none,NONE,No,Yes,NONE,False,False,
130,Clicked Survey Spotter,Segments,AND,Link Clicked In An Email,At Least,1 time over all time,AND,Email Tag,Is Exactly,bulk_6627,NONE,NONE,none,NONE,Yes,No,NONE,False,False,
132,clicked pickmypostcode,Segments,AND + OR,Link Clicked In An Email,At Least,1 time over all time,AND,Email Name,Is Exactly,YFS - Re... +4,OR,Link clicked in an email,at least,1 time over all time,Email tag,Is exactly,bulk_7408,True,False,
138,Sent SFB,Segments,AND,Email Sent,At Least,1 time in the last 2 weeks,AND,Email Tag,Is Exactly,bulk_5849,NONE,NONE,none,NONE,Yes,Yes,NONE,False,False,
139,2-14 months registered clicked,Segments,AND,Email Campaigns Subscriptions,Subscribed,None,AND,Creation Date,Between Past Dates,458 and 19 days before today,AND,Link clicked in an email,at least,1 time in the last 12 months,Yes,Yes,NONE,False,False,
141,Reg 2 months sent less than,Segments,AND,Email Campaigns Subscriptions,Subscribed,None,AND,Creation Date,In The Last,2 months,AND,Email sent,less than 30 times in the last 2 months,NONE,NONE,Yes,Yes,False,False,
144,Milka Clickers,Segments,AND,Link Clicked In An Email,At Least,1 time over all time,AND,Email Tag,Is Exactly,bulk_7176,NONE,NONE,none,NONE,Yes,No,NONE,False,False,
145,clicked squirl,Segments,AND,Link Clicked In An Email,At Least,1 time over all time,AND,Email Name,Is Exactly,YFS - Re... +1,NONE,NONE,none,NONE,Yes,No,NONE,False,False,
146,clicked adstart iphone,Segments,AND,Link Clicked In An Email,At Least,1 time over all time,AND,Email Name,Is Exactly,YFS - Re... +2,NONE,NONE,none,NONE,Yes,No,NONE,False,False,
147,clicked custard,Segments,AND,Link Clicked In An Email,At Least,1 time in the last 2 weeks,AND,Email Tag,Is Exactly,bulk_7165,NONE,NONE,none,NONE,Yes,Yes,NONE,False,False,
149,Clicked HeyPiggy,Segments,AND,Link Clicked In An Email,At Least,1 time over all time,AND,Email Tag,Is Exactly,bulk_6846,NONE,NONE,none,NONE,Yes,No,NONE,False,False,
150,5 days recent engagement,Segments,AND + OR,Email Opened,At Least,1 time in the last 5 days,OR,Link Clicked In An Email,At Least,1 time in the last 5 days,NONE,NONE,none,Yes,Yes,Apple MPP Opens excluded,NONE,False,False,
151,Clicked Adstart Aldi,Segments,AND,Link Clicked In An Email,At Least,1 time in the last 2 weeks,AND,Email Tag,Is Exactly,bulk_7276,NONE,NONE,none,NONE,Yes,Yes,NONE,False,False,
156,Visited Sovendus Offer,Segments,AND,Webpage Visited,At Least,1 time in the last 6 months,NONE,None,None,None,NONE,NONE,none,NONE,NONE,No,Yes,False,False,
157,B&M Clickers,Segments,AND,Link Clicked In An Email,At Least,1 time in the last 1 month,AND,Email Tag,Is Exactly,bulk_6158,NONE,NONE,none,NONE,Yes,Yes,NONE,False,False,
161,6 Month Clickers,Segments,AND,Link Clicked In An Email,At Least,1 time in the last 6 months,AND,Email Campaigns Subscriptions,Subscribed,None,NONE,NONE,none,Yes,Yes,NONE,NONE,False,False,
163,Has FLUENT ID,Segments,AND,Fluentid,Has Any Value,None,NONE,None,None,None,NONE,NONE,none,NONE,No,No,NONE,False,False,
169,Gaming Redirect Engaged,Segments,AND,Webpage Visited,At Least,1 time over all time,NONE,None,None,None,NONE,NONE,none,NONE,NONE,No,No,False,False,
170,9 months clickers,Segments,AND,Link Clicked In An Email,At Least,1 time in the last 9 months,AND,Email Campaigns Subscriptions,Subscribed,None,NONE,NONE,none,Yes,Yes,NONE,NONE,False,False,
171,Visited Gaming Redirect,Segments,AND,Webpage Visited,At Least,1 time in the last 2 months,NONE,None,None,None,NONE,NONE,none,NONE,NONE,No,Yes,False,False,
172,Clicked Past Month,Segments,AND,Email Campaigns Subscriptions,Subscribed,None,AND,Link Clicked In An Email,At Least,1 time in the last 1 month,NONE,NONE,none,NONE,Yes,Yes,NONE,False,False,
173,Reg 7-14 clicked past month,Segments,AND + OR,Email Campaigns Subscriptions,Subscribed,None,AND,Link Clicked In An Email,At Least,1 time in the last 1 month,OR,Creation date,between past dates,14 and 7 days before today,Yes,Yes,NONE,False,False,
175,Reg 1-2W Clicked 3 months,Segments,AND + OR,Link Clicked In An Email,At Least,1 time in the last 3 months,AND,Email Campaigns Subscriptions,Subscribed,OR,CREATION DATE,Between past dates,21 and 7 days before today,Yes,Yes,NONE,NONE,False,False,
176,Visited Sovendus,Segments,AND,Webpage Visited,At Least,1 time in the last 3 days,NONE,None,None,None,NONE,NONE,none,NONE,NONE,No,Yes,False,False,
177,Clicked Tesco YouSweep,Segments,AND,Link Clicked In An Email,At Least,1 time over all time,AND,Email Tag,Is Exactly,bulk_7479,NONE,NONE,none,NONE,Yes,Yes,NONE,False,False,
179,Clicked Gaming,Segments,AND + OR,Link Clicked In An Email,At Least,1 time in the last 2 weeks,AND,Email Campaigns Subscriptions,Subscribed,OR,WEBPAGE VISITED,at least,1 time in the last 2 weeks,Yes,Yes,Email tag bulk_gaming/bulk_7221 OR URL contains latest-freebie,NONE,False,False,
180,Registered 1-4 weeks,clicked,SEGMENTS,And + Or,Email Campaigns Subscriptions,Subscribed,AND,Creation Date,Between Past Dates,45 and 7 days before today,OR,Link clicked in an email,at least,1 time in the last 9 months,Yes,Yes,NONE,False,False,
181,Jun25-Jul25,Segments,AND,Email Campaigns Subscriptions,Subscribed,AND,CREATION DATE,Fixed Period,01/06/2025 - 31/07/2025,None,NONE,NONE,none,Yes,No,NONE,NONE,False,False,
182,Sub Tech Source,Segments,AND,Usource,Is Equal To,SUBT,NONE,None,None,None,NONE,NONE,none,NONE,NONE,No,No,False,False,
183,Clicked SFB,Segments,AND,Link Clicked In An Email,At Least,1 time in the last 6 months,AND,Email Tag,Is Exactly,bulk_5849,NONE,NONE,none,NONE,Yes,Yes,NONE,False,False,
184,Clicked SFS,Segments,AND,Link Clicked In An Email,At Least,1 time in the last 6 months,AND,Email Tag,Is Exactly,bulk_7298,NONE,NONE,none,NONE,Yes,Yes,NONE,False,False,
185,Clicked Captain,Segments,AND,Link Clicked In An Email,At Least,1 time in the last 6 months,AND,Email Tag,Is Exactly,bulk_7221,NONE,NONE,none,NONE,Yes,Yes,NONE,False,False,
187,Paypal Clickers,Segments,AND,Link Clicked In An Email,At Least,1 time over all time,AND,Email Tag,Is Exactly,bulk_7266,NONE,NONE,none,NONE,Yes,Yes,NONE,False,False,
